BNasus,BXin Zhao,BLucian,BYasuo,BGragas,RPantheon,RBlitzcrank,RKassadin,RTristana,ROlaf,RFalse
BMiss Fortune,BEkko,BIrelia,BSona,BTryndamere,RLee Sin,RHeimerdinger,RFiora,RBlitzcrank,RAshe,RFalse
BXayah,BVeigar,BVi,BFizz,BRakan,RDarius,RSoraka,RLee Sin,RJhin,RVel'Koz,RTrue
BRiven,BAnnie,BNocturne,BJhin,BThresh,RTrundle,RJanna,RXin Zhao,RTwisted Fate,RCaitlyn,RTrue
BUrgot,BZyra,BKarma,BShaco,BVayne,RLulu,RAnnie,RRenekton,RAshe,RGraves,RTrue
BDiana,BRakan,BDarius,BVel'Koz,BXayah,RAzir,RRiven,RWarwick,REzreal,RBlitzcrank,RTrue
BJarvan IV,BOrianna,BTryndamere,BVayne,BThresh,RAshe,RNami,RSyndra,RMaster Yi,RKled,RFalse
BVeigar,BAshe,BMorgana,BIrelia,BGraves,RSyndra,RRenekton,RZac,RTristana,RBrand,RFalse
BZed,BMaster Yi,BVayne,BSoraka,BCorki,RLux,RRiven,RAmumu,RDraven,RLulu,RTrue
BThresh,BTryndamere,BVayne,BZiggs,BRiven,RMorgana,RGaren,RIvern,ROrianna,RVarus,RFalse
BEzreal,BAkali,BZed,BZyra,BNocturne,RTwitch,RThresh,RVi,RKatarina,RYasuo,RTrue
BRiven,BBrand,BJinx,BKhaZix,BTwisted Fate,RGalio,RXayah,RLeona,RLux,RSejuani,RFalse
BRiven,BTwitch,BJanna,BSejuani,BOrianna,RYasuo,RNami,RMiss Fortune,RAmumu,RAkali,RTrue
BAmumu,BLux,BTristana,BMorgana,BGangplank,RThresh,RLucian,RGnar,RRekSai,RFizz,RTrue
BJarvan IV,BTrundle,BAhri,BTristana,BBlitzcrank,RRiven,RWarwick,RTwisted Fate,RCaitlyn,RBraum,RFalse
BBrand,BVayne,BChoGath,BOlaf,BZyra,RNami,RCaitlyn,RVi,RVeigar,RTahm Kench,RTrue
BQuinn,BSona,BJhin,BAkali,BNocturne,RCaitlyn,ROlaf,RZac,RLux,RLeona,RFalse
BEzreal,BAnnie,BChoGath,BTrundle,BLeona,ROrianna,RXin Zhao,RTaric,RVarus,RWarwick,RTrue
BMorgana,BNocturne,BNautilus,BJhin,BAhri,RAnnie,RZilean,REzreal,RSejuani,RRenekton,RFalse
BXin Zhao,BTristana,BTryndamere,BLulu,BAhri,RGaren,RJarvan IV,RAlistar,RJhin,REzreal,RTrue
BEzreal,BVeigar,BBraum,BIvern,BRiven,RCorki,RChoGath,RMaster Yi,RXayah,RLulu,RTrue
BAshe,BGaren,BLux,BAmumu,BOrianna,RKatarina,RLee Sin,RNautilus,RRiven,RLucian,RFalse
BCamille,BLucian,BXin Zhao,BYasuo,BAnnie,RCaitlyn,RGraves,RThresh,RKatarina,RTeemo,RTrue
BCaitlyn,BOrianna,BKhaZix,BNasus,BBlitzcrank,RZiggs,RLucian,RJanna,RKled,RLee Sin,RFalse
BEzreal,BAnnie,BChoGath,BTrundle,BLeona,ROrianna,RXin Zhao,RTaric,RVarus,RWarwick,RTrue
BLucian,BLulu,BTwisted Fate,BGangplank,BLee Sin,RSona,RWarwick,RAkali,RVayne,RYorick,RTrue
BDarius,BAnnie,BBraum,BMaster Yi,BTristana,RLee Sin,RGragas,RLucian,RVarus,RBlitzcrank,RFalse
BEzreal,BGalio,BSona,BGangplank,BRiven,RLucian,RJanna,RDarius,RWarwick,RAhri,RTrue
BTryndamere,BLucian,BSwain,BLulu,BHecarim,RKhaZix,RSona,RAnivia,RXayah,RRiven,RFalse
BLucian,BQuinn,BWarwick,BAhri,BZilean,RLulu,RChoGath,RAshe,RUdyr,RDiana,RFalse
BLucian,BThresh,BRenekton,BViktor,BMalphite,RMalzahar,RKayle,RTryndamere,RVayne,RKarma,RFalse
BSwain,BMalphite,BLucian,BTryndamere,BVladimir,RVayne,RKarma,RGnar,RSyndra,RWarwick,RFalse
BTalon,BThresh,BSivir,BZac,BVladimir,RZiggs,RKhaZix,RRiven,RSoraka,RLucian,RTrue
BChoGath,BLucian,BLee Sin,BLeBlanc,BKarma,RXin Zhao,REzreal,RGragas,RFiora,RBraum,RTrue
BRiven,BNunu,BOrianna,BSona,BEzreal,RLulu,RCaitlyn,RChoGath,RSyndra,RAmumu,RTrue
BMaokai,BCaitlyn,BXin Zhao,BKassadin,BTeemo,RJinx,RZyra,RAhri,RVi,RGalio,RFalse
BEzreal,BAnnie,BChoGath,BTrundle,BLeona,ROrianna,RXin Zhao,RTaric,RVarus,RWarwick,RTrue
BThresh,BDraven,BSyndra,BVolibear,BMaster Yi,RTeemo,RZiggs,RBlitzcrank,RJhin,RElise,RTrue
BLux,BNami,BMaster Yi,BTwitch,BRenekton,RAshe,RJax,RVeigar,RXin Zhao,RThresh,RFalse
BJax,BZed,BJhin,BZyra,BAmumu,RLucian,RLeona,RLux,RShen,RRiven,RFalse
BKayle,BKarthus,BCaitlyn,BLulu,BLee Sin,RRiven,RLux,RMaster Yi,RLucian,RNami,RTrue
BWukong,BSoraka,BRiven,BZed,BJhin,RGangplank,RTristana,RViktor,RElise,RBard,RTrue
BEzreal,BAnnie,BChoGath,BTrundle,BLeona,ROrianna,RXin Zhao,RTaric,RVarus,RWarwick,RTrue
BAmumu,BAnnie,BGragas,BCaitlyn,BBrand,RAhri,RWukong,RLucian,RLulu,RGaren,RTrue
BAmumu,BAshe,BJanna,BTeemo,BGangplank,RIvern,RYasuo,RJinx,RLulu,RWukong,RFalse
BJhin,BMorgana,BOrianna,BOlaf,BGangplank,RCaitlyn,RThresh,RJax,RAmumu,RHeimerdinger,RFalse
BJarvan IV,BAhri,BCaitlyn,BAmumu,BTaric,RLulu,RVel'Koz,RMiss Fortune,RSejuani,RKled,RFalse
BKennen,BCaitlyn,BLee Sin,BUdyr,BRakan,RTrundle,RZed,RElise,RXayah,RLeona,RFalse
BNocturne,BJarvan IV,BBlitzcrank,BMiss Fortune,BSyndra,RBraum,RZiggs,RTristana,RAmumu,RGangplank,RTrue
BElise,BLucian,BIrelia,BAzir,BNami,RKarma,RAshe,RJarvan IV,RXerath,RSejuani,RFalse
BJanna,BJinx,BDiana,BRiven,BLee Sin,RCaitlyn,RKarma,RIrelia,RKindred,RTeemo,RTrue
BTristana,BGraves,BBlitzcrank,BChoGath,BYasuo,RShen,RRiven,RKhaZix,RVayne,RViktor,RFalse
BRekSai,BKassadin,BJax,BCaitlyn,BTaric,RMiss Fortune,RLux,RTeemo,RNasus,RWarwick,RFalse
BWarwick,BKogMaw,BVeigar,BRumble,BGalio,RTristana,RAlistar,RNidalee,RAnnie,RJarvan IV,RFalse
BAshe,BOrianna,BGalio,BXin Zhao,BMiss Fortune,RKhaZix,RCaitlyn,RAlistar,RSwain,RAhri,RTrue
BGraves,BTristana,BAlistar,BMalphite,BIrelia,RVayne,RVladimir,RLee Sin,RSona,RGangplank,RFalse
BSion,BVarus,BOrianna,BAmumu,BAlistar,RVi,RMorgana,RCaitlyn,RFiora,RDr. Mundo,RFalse
BThresh,BZiggs,BGraves,BZac,BVayne,RTristana,RTaric,RRammus,RGnar,RKatarina,RFalse
BVel'Koz,BNasus,BWarwick,BSivir,BMorgana,RCaitlyn,RAlistar,RLux,RVi,RVayne,RTrue
BKhaZix,BBrand,BKalista,BAhri,BRenekton,RTaric,RShaco,RIrelia,ROrianna,RCaitlyn,RTrue
BLeona,BTristana,BYasuo,BChoGath,BVolibear,RThresh,RXin Zhao,RAnnie,RJhin,RShen,RFalse
BGalio,BAlistar,BKalista,BVel'Koz,BGraves,REkko,RAmumu,RRenekton,RJanna,REzreal,RTrue
BTrundle,BSkarner,BTwitch,BZiggs,BBrand,RTaric,RYasuo,RMiss Fortune,RGnar,RMalphite,RFalse
BVayne,BBraum,BJarvan IV,BDr. Mundo,BTalon,RTaric,REzreal,RLee Sin,RAkali,RXerath,RTrue
BRumble,BAkali,BKhaZix,BDraven,BThresh,RTaric,RZac,RGalio,RDiana,RCaitlyn,RTrue
BAshe,BShaco,BVel'Koz,BRengar,BSoraka,RAkali,RZed,RMorgana,RTwitch,RAmumu,RFalse
BZed,BThresh,BNasus,BGraves,BJinx,RSion,RHecarim,ROrianna,RSivir,RChoGath,RFalse
BChoGath,BLucian,BXin Zhao,BCorki,BShen,RJinx,RMaster Yi,RKarma,RVeigar,RYasuo,RFalse
BCaitlyn,BRengar,BRenekton,BVel'Koz,BTaric,RLee Sin,RLucian,RBrand,RGalio,RTwisted Fate,RFalse
BVeigar,BVi,BKatarina,BJinx,BMorgana,RAnnie,RCaitlyn,RJarvan IV,RTaric,RGnar,RTrue
BAmumu,BYasuo,BBraum,BLucian,BAkali,RRakan,RMalzahar,RXayah,RXin Zhao,RFiora,RTrue
BTahm Kench,BKled,BCaitlyn,BAmumu,BAnnie,RSona,RMaster Yi,RZac,RJinx,RTeemo,RFalse
BYasuo,BJarvan IV,BAshe,BJayce,BTaric,RIrelia,ROrianna,RVayne,RBrand,RRammus,RTrue
BAnnie,BBlitzcrank,BYasuo,BJhin,BGaren,RXayah,RMalphite,RLeona,RLee Sin,RLux,RTrue
BTaric,BElise,BTryndamere,BAshe,BVeigar,RYasuo,RSona,RVarus,RRumble,RAhri,RFalse
BNasus,BOrianna,BLeona,BUdyr,BJhin,RKarma,RLux,RSkarner,RRumble,RVarus,RFalse
BBrand,BAhri,BBraum,BVi,BVayne,RShen,RLee Sin,RJhin,RZilean,RKarma,RFalse
BNami,BFiora,BEkko,BAlistar,BCaitlyn,RNunu,RAshe,RTaric,RFizz,RMalphite,RFalse
BThresh,BDraven,BKatarina,BElise,BTryndamere,RGnar,RTristana,RDiana,RAlistar,RVladimir,RTrue
BAmumu,BRiven,BAlistar,BZilean,BJinx,RRenekton,RVeigar,RLeona,RKalista,RLee Sin,RFalse
BAshe,BMalzahar,BAmumu,BBrand,BQuinn,RBlitzcrank,RGalio,RHeimerdinger,RSejuani,RTwitch,RTrue
BEvelynn,BMiss Fortune,BFiora,BMalzahar,BTaric,RCaitlyn,RVladimir,RRakan,RKhaZix,RTryndamere,RTrue
BMaster Yi,BShen,BMalzahar,BTwitch,BKarma,RThresh,RNasus,RMiss Fortune,RAmumu,REkko,RFalse
BJayce,BMalphite,BMiss Fortune,BEkko,BDiana,RCorki,RAshe,RLee Sin,RBrand,RKayle,RFalse
BMiss Fortune,BIrelia,BTryndamere,BTalon,BSion,RAkali,RVeigar,RLux,RCaitlyn,RWarwick,RTrue
BVolibear,BTaric,BJax,BCaitlyn,BZiggs,RUdyr,RRenekton,RVayne,RZed,RRakan,RFalse
BLeona,BIrelia,BDraven,BHecarim,BViktor,RLee Sin,RVayne,RThresh,RSinged,RAnivia,RFalse
BBlitzcrank,BJhin,BNasus,BVeigar,BEvelynn,RMaster Yi,RXayah,RYasuo,RChoGath,RThresh,RFalse
BAmumu,BKogMaw,BLissandra,BLulu,BAnivia,RZac,RCassiopeia,RTeemo,RSwain,RJinx,RTrue
BPantheon,BLeona,BElise,BEkko,BJinx,RAnivia,RCaitlyn,RKindred,RKayle,RBraum,RTrue
BUdyr,BChoGath,BThresh,BDraven,BFizz,RTrundle,RCaitlyn,RKhaZix,RAhri,RKayle,RTrue
BNami,BKindred,BAshe,BPantheon,BChoGath,RTaliyah,RMaokai,RYasuo,RLucian,RSoraka,RTrue
